,seqname,source,feature,start,end,score,strand,frame,ID,Dbxref,Is_circular,Name,gbkey,genome,mol_type,strain,sub-species,gene,gene_biotype,locus_tag,Parent,product,protein_id,transl_table,Note,description,mobile_element_type,gene_synonym
532,CP006706.1,Genbank,CDS,317098,318099,,+,0,cds-AGU54141.1,NCBI_GP:AGU54141.1,,AGU54141.1,CDS,,,,,,,RSAU_000269,gene-RSAU_000269,flavin-utilizing monooxygenase family,AGU54141.1,11,,,,
533,CP006706.1,Genbank,gene,318133,318465,,+,,gene-RSAU_000270,,,RSAU_000270,Gene,,,,,,protein_coding,RSAU_000270,,,,,,,,
534,CP006706.1,Genbank,CDS,318133,318465,,+,0,cds-AGU54142.1,NCBI_GP:AGU54142.1,,AGU54142.1,CDS,,,,,,,RSAU_000270,gene-RSAU_000270,glycine cleavage H-protein%2C putative,AGU54142.1,11,,,,
535,CP006706.1,Genbank,gene,318466,319266,,+,,gene-RSAU_000271,,,RSAU_000271,Gene,,,,,,protein_coding,RSAU_000271,,,,,,,,
536,CP006706.1,Genbank,CDS,318466,319266,,+,0,cds-AGU54143.1,NCBI_GP:AGU54143.1,,AGU54143.1,CDS,,,,,,,RSAU_000271,gene-RSAU_000271,putative phosphatase%2C high-affinity ADP-ribose binding module,AGU54143.1,11,,,,
537,CP006706.1,Genbank,gene,319256,320200,,+,,gene-RSAU_000272,,,RSAU_000272,Gene,,,,,,protein_coding,RSAU_000272,,,,,,,,
538,CP006706.1,Genbank,CDS,319256,320200,,+,0,cds-AGU54144.1,NCBI_GP:AGU54144.1,,AGU54144.1,CDS,,,,,,,RSAU_000272,gene-RSAU_000272,NAD-dependent protein deacetylase%2C SIR2 family,AGU54144.1,11,,,,
539,CP006706.1,Genbank,gene,320178,321200,,+,,gene-RSAU_000273,,,RSAU_000273,Gene,,,,,,protein_coding,RSAU_000273,,,,,,,,
540,CP006706.1,Genbank,CDS,320178,321200,,+,0,cds-AGU54145.1,NCBI_GP:AGU54145.1,,AGU54145.1,CDS,,,,,,,RSAU_000273,gene-RSAU_000273,lipoate-protein ligase%2C putative,AGU54145.1,11,,,,
541,CP006706.1,Genbank,gene,321516,322541,,+,,gene-RSAU_000274,,,RSAU_000274,Gene,,,,,,protein_coding,RSAU_000274,,,,,,,,
542,CP006706.1,Genbank,CDS,321516,322541,,+,0,cds-AGU54146.1,NCBI_GP:AGU54146.1,,AGU54146.1,CDS,,,,,,,RSAU_000274,gene-RSAU_000274,oxidoreductase%2C putative,AGU54146.1,11,,,,
543,CP006706.1,Genbank,gene,322635,323981,,-,,gene-RSAU_000275,,,ulaA,Gene,,,,,ulaA,protein_coding,RSAU_000275,,,,,,,,
544,CP006706.1,Genbank,CDS,322635,323981,,-,0,cds-AGU54147.1,NCBI_GP:AGU54147.1,,AGU54147.1,CDS,,,,,ulaA,,RSAU_000275,gene-RSAU_000275,ascorbate-specific PTS system enzyme IIC,AGU54147.1,11,,,,
545,CP006706.1,Genbank,gene,323996,324280,,-,,gene-RSAU_000276,,,RSAU_000276,Gene,,,,,,protein_coding,RSAU_000276,,,,,,,,
546,CP006706.1,Genbank,CDS,323996,324280,,-,0,cds-AGU54148.1,NCBI_GP:AGU54148.1,,AGU54148.1,CDS,,,,,,,RSAU_000276,gene-RSAU_000276,PTS transport system protein%2C putative,AGU54148.1,11,,,,
547,CP006706.1,Genbank,gene,324282,324725,,-,,gene-RSAU_000277,,,RSAU_000277,Gene,,,,,,protein_coding,RSAU_000277,,,,,,,,
548,CP006706.1,Genbank,CDS,324282,324725,,-,0,cds-AGU54149.1,NCBI_GP:AGU54149.1,,AGU54149.1,CDS,,,,,,,RSAU_000277,gene-RSAU_000277,PTS transport system IIA component%2C putative,AGU54149.1,11,,,,
549,CP006706.1,Genbank,gene,324730,326685,,-,,gene-RSAU_000278,,,RSAU_000278,Gene,,,,,,protein_coding,RSAU_000278,,,,,,,,
550,CP006706.1,Genbank,CDS,324730,326685,,-,0,cds-AGU54150.1,NCBI_GP:AGU54150.1,,AGU54150.1,CDS,,,,,,,RSAU_000278,gene-RSAU_000278,transcriptional antiterminator%2C BglG family,AGU54150.1,11,,,,
551,CP006706.1,Genbank,gene,326897,327316,,+,,gene-RSAU_000279,,,RSAU_000279,Gene,,,,,,protein_coding,RSAU_000279,,,,,,,,
552,CP006706.1,Genbank,CDS,326897,327316,,+,0,cds-AGU54151.1,NCBI_GP:AGU54151.1,,AGU54151.1,CDS,,,,,,,RSAU_000279,gene-RSAU_000279,transcriptional regulator%2C MarR family,AGU54151.1,11,,,,
553,CP006706.1,Genbank,gene,327422,328777,,+,,gene-RSAU_000280,,,mepA,Gene,,,,,mepA,protein_coding,RSAU_000280,,,,,,,,
554,CP006706.1,Genbank,CDS,327422,328777,,+,0,cds-AGU54152.1,NCBI_GP:AGU54152.1,,AGU54152.1,CDS,,,,,mepA,,RSAU_000280,gene-RSAU_000280,mepA: Multidrug export protein mepA,AGU54152.1,11,,,,
555,CP006706.1,Genbank,gene,328880,329320,,+,,gene-RSAU_000281,,,RSAU_000281,Gene,,,,,,protein_coding,RSAU_000281,,,,,,,,
556,CP006706.1,Genbank,CDS,328880,329320,,+,0,cds-AGU54153.1,NCBI_GP:AGU54153.1,,AGU54153.1,CDS,,,,,,,RSAU_000281,gene-RSAU_000281,hypothetical protein,AGU54153.1,11,,,,
557,CP006706.1,Genbank,gene,329404,330762,,-,,gene-RSAU_000282,,,glpT,Gene,,,,,glpT,protein_coding,RSAU_000282,,,,,,,,
558,CP006706.1,Genbank,CDS,329404,330762,,-,0,cds-AGU54154.1,NCBI_GP:AGU54154.1,,AGU54154.1,CDS,,,,,glpT,,RSAU_000282,gene-RSAU_000282,glycerol-3-phosphate transporter%2C putative,AGU54154.1,11,,,,
559,CP006706.1,Genbank,gene,331074,332000,,+,,gene-RSAU_000283,,,RSAU_000283,Gene,,,,,,protein_coding,RSAU_000283,,,,,,,,
560,CP006706.1,Genbank,CDS,331074,332000,,+,0,cds-AGU54155.1,NCBI_GP:AGU54155.1,,AGU54155.1,CDS,,,,,,,RSAU_000283,gene-RSAU_000283,glyoxylase family protein%2C putative dioxygenase,AGU54155.1,11,,,,
561,CP006706.1,Genbank,gene,332014,333075,,+,,gene-RSAU_000284,,,RSAU_000284,Gene,,,,,,protein_coding,RSAU_000284,,,,,,,,
562,CP006706.1,Genbank,CDS,332014,333075,,+,0,cds-AGU54156.1,NCBI_GP:AGU54156.1,,AGU54156.1,CDS,,,,,,,RSAU_000284,gene-RSAU_000284,flavin-utilizing luciferase-like monooxygenase family,AGU54156.1,11,,,,
563,CP006706.1,Genbank,gene,333089,333655,,+,,gene-RSAU_000285,,,RSAU_000285,Gene,,,,,,protein_coding,RSAU_000285,,,,,,,,
564,CP006706.1,Genbank,CDS,333089,333655,,+,0,cds-AGU54157.1,NCBI_GP:AGU54157.1,,AGU54157.1,CDS,,,,,,,RSAU_000285,gene-RSAU_000285,putative NADH-dependent FMN reductase,AGU54157.1,11,,,,
565,CP006706.1,Genbank,gene,333715,334710,,-,,gene-RSAU_000286,,,RSAU_000286,Gene,,,,,,protein_coding,RSAU_000286,,,,,,,,
566,CP006706.1,Genbank,CDS,333715,334710,,-,0,cds-AGU54158.1,NCBI_GP:AGU54158.1,,AGU54158.1,CDS,,,,,,,RSAU_000286,gene-RSAU_000286,putative membrane protein,AGU54158.1,11,,,,
567,CP006706.1,Genbank,gene,334991,335536,,+,,gene-RSAU_000287,,,RSAU_000287,Gene,,,,,,protein_coding,RSAU_000287,,,,,,,,
568,CP006706.1,Genbank,CDS,334991,335536,,+,0,cds-AGU54159.1,NCBI_GP:AGU54159.1,,AGU54159.1,CDS,,,,,,,RSAU_000287,gene-RSAU_000287,ribosomal-protein-L7/L12-serine acetyltransferase,AGU54159.1,11,,,,
569,CP006706.1,Genbank,gene,335801,336655,,+,,gene-RSAU_000288,,,fepA,Gene,,,,,fepA,protein_coding,RSAU_000288,,,,,,,,
570,CP006706.1,Genbank,CDS,335801,336655,,+,0,cds-AGU54160.1,NCBI_GP:AGU54160.1,,AGU54160.1,CDS,,,,,fepA,,RSAU_000288,gene-RSAU_000288,iron-binding lipoprotein,AGU54160.1,11,,,,
571,CP006706.1,Genbank,gene,336652,337881,,+,,gene-RSAU_000289,,,fepB,Gene,,,,,fepB,protein_coding,RSAU_000289,,,,,,,,
572,CP006706.1,Genbank,CDS,336652,337881,,+,0,cds-AGU54161.1,NCBI_GP:AGU54161.1,,AGU54161.1,CDS,,,,,fepB,,RSAU_000289,gene-RSAU_000289,iron-dependent peroxidase%2C Tat-translocated,AGU54161.1,11,,,,
573,CP006706.1,Genbank,gene,337862,339706,,+,,gene-RSAU_000290,,,fepC,Gene,,,,,fepC,protein_coding,RSAU_000290,,,,,,,,
574,CP006706.1,Genbank,CDS,337862,339706,,+,0,cds-AGU54162.1,NCBI_GP:AGU54162.1,,AGU54162.1,CDS,,,,,fepC,,RSAU_000290,gene-RSAU_000290,high-affinity iron permease,AGU54162.1,11,,,,
575,CP006706.1,Genbank,gene,339841,340542,,-,,gene-RSAU_000291,,,tatC,Gene,,,,,tatC,protein_coding,RSAU_000291,,,,,,,,
576,CP006706.1,Genbank,CDS,339841,340542,,-,0,cds-AGU54163.1,NCBI_GP:AGU54163.1,,AGU54163.1,CDS,,,,,tatC,,RSAU_000291,gene-RSAU_000291,twin-arginine protein translocase protein subunit C,AGU54163.1,11,,,,
577,CP006706.1,Genbank,gene,340559,340774,,-,,gene-RSAU_000292,,,tatA,Gene,,,,,tatA,protein_coding,RSAU_000292,,,,,,,,
578,CP006706.1,Genbank,CDS,340559,340774,,-,0,cds-AGU54164.1,NCBI_GP:AGU54164.1,,AGU54164.1,CDS,,,,,tatA,,RSAU_000292,gene-RSAU_000292,twin-arginine protein translocase protein subunit A,AGU54164.1,11,,,,
579,CP006706.1,Genbank,gene,340882,341271,,-,,gene-RSAU_000293,,,RSAU_000293,Gene,,,,,,protein_coding,RSAU_000293,,,,,,,,
580,CP006706.1,Genbank,CDS,340882,341271,,-,0,cds-AGU54165.1,NCBI_GP:AGU54165.1,,AGU54165.1,CDS,,,,,,,RSAU_000293,gene-RSAU_000293,putative phage envelope-like protein,AGU54165.1,11,,,,
581,CP006706.1,Genbank,gene,341513,341716,,+,,gene-RSAU_000294,,,RSAU_000294,Gene,,,,,,protein_coding,RSAU_000294,,,,,,,,
582,CP006706.1,Genbank,CDS,341513,341716,,+,0,cds-AGU54166.1,NCBI_GP:AGU54166.1,,AGU54166.1,CDS,,,,,,,RSAU_000294,gene-RSAU_000294,putative XRE family transcription regulator,AGU54166.1,11,,,,
583,CP006706.1,Genbank,gene,341713,342426,,+,,gene-RSAU_000295,,,RSAU_000295,Gene,,,,,,protein_coding,RSAU_000295,,,,,,,,
584,CP006706.1,Genbank,CDS,341713,342426,,+,0,cds-AGU54167.1,NCBI_GP:AGU54167.1,,AGU54167.1,CDS,,,,,,,RSAU_000295,gene-RSAU_000295,hypothetical protein%2C DUF3169 superfamily,AGU54167.1,11,,,,
585,CP006706.1,Genbank,gene,342451,343293,,+,,gene-RSAU_000296,,,RSAU_000296,Gene,,,,,,protein_coding,RSAU_000296,,,,,,,,
586,CP006706.1,Genbank,CDS,342451,343293,,+,0,cds-AGU54168.1,NCBI_GP:AGU54168.1,,AGU54168.1,CDS,,,,,,,RSAU_000296,gene-RSAU_000296,ABC transporter ATP-binding protein%2C putative,AGU54168.1,11,,,,
587,CP006706.1,Genbank,gene,343293,343922,,+,,gene-RSAU_000297,,,RSAU_000297,Gene,,,,,,protein_coding,RSAU_000297,,,,,,,,
588,CP006706.1,Genbank,CDS,343293,343922,,+,0,cds-AGU54169.1,NCBI_GP:AGU54169.1,,AGU54169.1,CDS,,,,,,,RSAU_000297,gene-RSAU_000297,hypothetical protein%2C putative membrane protein,AGU54169.1,11,,,,
589,CP006706.1,Genbank,gene,344292,345425,,-,,gene-RSAU_000298,,,ltrA,Gene,,,,,ltrA,protein_coding,RSAU_000298,,,,,,,,
590,CP006706.1,Genbank,CDS,344292,345425,,-,0,cds-AGU54170.1,NCBI_GP:AGU54170.1,,AGU54170.1,CDS,,,,,ltrA,,RSAU_000298,gene-RSAU_000298,low temperature requirement protein LtrA,AGU54170.1,11,,,,
591,CP006706.1,Genbank,gene,345964,347145,,+,,gene-RSAU_000299,,,RSAU_000299,Gene,,,,,,protein_coding,RSAU_000299,,,,,,,,
592,CP006706.1,Genbank,CDS,345964,347145,,+,0,cds-AGU54171.1,NCBI_GP:AGU54171.1,,AGU54171.1,CDS,,,,,,,RSAU_000299,gene-RSAU_000299,acetyl-CoA acetyltransferase%2C putative,AGU54171.1,11,,,,
593,CP006706.1,Genbank,gene,347228,347980,,-,,gene-RSAU_000300,,,RSAU_000300,Gene,,,,,,protein_coding,RSAU_000300,,,,,,,,
594,CP006706.1,Genbank,CDS,347228,347980,,-,0,cds-AGU54172.1,NCBI_GP:AGU54172.1,,AGU54172.1,CDS,,,,,,,RSAU_000300,gene-RSAU_000300,cyclase%2C putative,AGU54172.1,11,,,,
595,CP006706.1,Genbank,gene,348023,350251,,-,,gene-RSAU_000301,,,metE1,Gene,,,,,metE1,protein_coding,RSAU_000301,,,,,,,,
596,CP006706.1,Genbank,CDS,348023,350251,,-,0,cds-AGU54173.1,NCBI_GP:AGU54173.1,,AGU54173.1,CDS,,,,,metE1,,RSAU_000301,gene-RSAU_000301,5-methyltetrahydropteroyltriglutamate-homocysteine methyltransferase,AGU54173.1,11,,,,
597,CP006706.1,Genbank,gene,350248,352089,,-,,gene-RSAU_000302,,,metE2,Gene,,,,,metE2,protein_coding,RSAU_000302,,,,,,,,
598,CP006706.1,Genbank,CDS,350248,352089,,-,0,cds-AGU54174.1,NCBI_GP:AGU54174.1,,AGU54174.1,CDS,,,,,metE2,,RSAU_000302,gene-RSAU_000302,5-methyltetrahydropteroyltriglutamate-homocysteine methyltransferase,AGU54174.1,11,,,,
599,CP006706.1,Genbank,gene,352058,353218,,-,,gene-RSAU_000303,,,RSAU_000303,Gene,,,,,,protein_coding,RSAU_000303,,,,,,,,
600,CP006706.1,Genbank,CDS,352058,353218,,-,0,cds-AGU54175.1,NCBI_GP:AGU54175.1,,AGU54175.1,CDS,,,,,,,RSAU_000303,gene-RSAU_000303,cystathionine gamma-synthase superfamily protein,AGU54175.1,11,,,,
601,CP006706.1,Genbank,gene,353215,354318,,-,,gene-RSAU_000304,,,RSAU_000304,Gene,,,,,,protein_coding,RSAU_000304,,,,,,,,
602,CP006706.1,Genbank,CDS,353215,354318,,-,0,cds-AGU54176.1,NCBI_GP:AGU54176.1,,AGU54176.1,CDS,,,,,,,RSAU_000304,gene-RSAU_000304,AAT_I superfamily protein,AGU54176.1,11,,,,
603,CP006706.1,Genbank,gene,354989,355825,,+,,gene-RSAU_000305,,,spo0J,Gene,,,,,spo0J,protein_coding,RSAU_000305,,,,,,,,
604,CP006706.1,Genbank,CDS,354989,355825,,+,0,cds-AGU54177.1,NCBI_GP:AGU54177.1,,AGU54177.1,CDS,,,,,spo0J,,RSAU_000305,gene-RSAU_000305,stage 0 sporulation protein J,AGU54177.1,11,,,,
605,CP006706.1,Genbank,gene,355979,356860,,+,,gene-RSAU_000306,,,mscS,Gene,,,,,mscS,protein_coding,RSAU_000306,,,,,,,,
606,CP006706.1,Genbank,CDS,355979,356860,,+,0,cds-AGU54178.1,NCBI_GP:AGU54178.1,,AGU54178.1,CDS,,,,,mscS,,RSAU_000306,gene-RSAU_000306,small-conductance mechanosensitive ion channel%2C putative,AGU54178.1,11,,,,
607,CP006706.1,Genbank,gene,356890,357093,,+,,gene-RSAU_000307,,,RSAU_000307,Gene,,,,,,protein_coding,RSAU_000307,,,,,,,,
608,CP006706.1,Genbank,CDS,356890,357093,,+,0,cds-AGU54179.1,NCBI_GP:AGU54179.1,,AGU54179.1,CDS,,,,,,,RSAU_000307,gene-RSAU_000307,hypothetical protein,AGU54179.1,11,,,,
609,CP006706.1,Genbank,gene,357105,358202,,+,,gene-RSAU_000308,,,ychF,Gene,,,,,ychF,protein_coding,RSAU_000308,,,,,,,,
610,CP006706.1,Genbank,CDS,357105,358202,,+,0,cds-AGU54180.1,NCBI_GP:AGU54180.1,,AGU54180.1,CDS,,,,,ychF,,RSAU_000308,gene-RSAU_000308,GTP-binding protein%2C putative,AGU54180.1,11,,,,
611,CP006706.1,Genbank,gene,358288,358479,,-,,gene-RSAU_000309,,,RSAU_000309,Gene,,,,,,protein_coding,RSAU_000309,,,,,,,,
612,CP006706.1,Genbank,CDS,358288,358479,,-,0,cds-AGU54181.1,NCBI_GP:AGU54181.1,,AGU54181.1,CDS,,,,,,,RSAU_000309,gene-RSAU_000309,hypothetical protein,AGU54181.1,11,,,,
613,CP006706.1,Genbank,gene,358723,359019,,+,,gene-RSAU_000310,,,rpsF,Gene,,,,,rpsF,protein_coding,RSAU_000310,,,,,,,,
614,CP006706.1,Genbank,CDS,358723,359019,,+,0,cds-AGU54182.1,NCBI_GP:AGU54182.1,,AGU54182.1,CDS,,,,,rpsF,,RSAU_000310,gene-RSAU_000310,30S ribosomal protein S6,AGU54182.1,11,,,,
615,CP006706.1,Genbank,gene,359040,359543,,+,,gene-RSAU_000311,,,ssb,Gene,,,,,ssb,protein_coding,RSAU_000311,,,,,,,,
616,CP006706.1,Genbank,CDS,359040,359543,,+,0,cds-AGU54183.1,NCBI_GP:AGU54183.1,,AGU54183.1,CDS,,,,,ssb,,RSAU_000311,gene-RSAU_000311,single-stranded DNA-binding protein%2C putative,AGU54183.1,11,,,,
617,CP006706.1,Genbank,gene,359595,359837,,+,,gene-RSAU_000312,,,rpsR,Gene,,,,,rpsR,protein_coding,RSAU_000312,,,,,,,,
618,CP006706.1,Genbank,CDS,359595,359837,,+,0,cds-AGU54184.1,NCBI_GP:AGU54184.1,,AGU54184.1,CDS,,,,,rpsR,,RSAU_000312,gene-RSAU_000312,30S ribosomal protein S18,AGU54184.1,11,,,,
619,CP006706.1,Genbank,gene,360111,361085,,-,,gene-RSAU_000313,,,RSAU_000313,Gene,,,,,,protein_coding,RSAU_000313,,,,,,,,
620,CP006706.1,Genbank,CDS,360111,361085,,-,0,cds-AGU54185.1,NCBI_GP:AGU54185.1,,AGU54185.1,CDS,,,,,,,RSAU_000313,gene-RSAU_000313,Abi-family protein,AGU54185.1,11,,,,
621,CP006706.1,Genbank,gene,361162,361649,,-,,gene-RSAU_000314,,,RSAU_000314,Gene,,,,,,other,RSAU_000314,,,,,frameshift,phage integrase%2C putative,,
622,CP006706.1,Genbank,gene,362009,362620,,+,,gene-RSAU_000315,,,RSAU_000315,Gene,,,,,,protein_coding,RSAU_000315,,,,,,,,
623,CP006706.1,Genbank,CDS,362009,362620,,+,0,cds-AGU54186.1,NCBI_GP:AGU54186.1,,AGU54186.1,CDS,,,,,,,RSAU_000315,gene-RSAU_000315,staphylococcal enterotoxin%2C putative,AGU54186.1,11,,,,
624,CP006706.1,Genbank,gene,362989,363357,,+,,gene-RSAU_000316,,,RSAU_000316,Gene,,,,,,protein_coding,RSAU_000316,,,,,,,,
625,CP006706.1,Genbank,CDS,362989,363357,,+,0,cds-AGU54187.1,NCBI_GP:AGU54187.1,,AGU54187.1,CDS,,,,,,,RSAU_000316,gene-RSAU_000316,hypothetical protein%2C DUF1093,AGU54187.1,11,,,,
626,CP006706.1,Genbank,gene,363538,364110,,+,,gene-RSAU_000317,,,RSAU_000317,Gene,,,,,,protein_coding,RSAU_000317,,,,,,,,
627,CP006706.1,Genbank,CDS,363538,364110,,+,0,cds-AGU54188.1,NCBI_GP:AGU54188.1,,AGU54188.1,CDS,,,,,,,RSAU_000317,gene-RSAU_000317,putative lipoprotein%2C putative,AGU54188.1,11,,,,
628,CP006706.1,Genbank,gene,364248,364511,,-,,gene-RSAU_000318,,,RSAU_000318,Gene,,,,,,protein_coding,RSAU_000318,,,,,,,,
629,CP006706.1,Genbank,CDS,364248,364511,,-,0,cds-AGU54189.1,NCBI_GP:AGU54189.1,,AGU54189.1,CDS,,,,,,,RSAU_000318,gene-RSAU_000318,XRE family transcription regulator%2C putative,AGU54189.1,11,,,,
630,CP006706.1,Genbank,gene,364805,365059,,+,,gene-RSAU_000319,,,RSAU_000319,Gene,,,,,,protein_coding,RSAU_000319,,,,,,,,
631,CP006706.1,Genbank,CDS,364805,365059,,+,0,cds-AGU54190.1,NCBI_GP:AGU54190.1,,AGU54190.1,CDS,,,,,,,RSAU_000319,gene-RSAU_000319,hypothetical protein,AGU54190.1,11,,,,
632,CP006706.1,Genbank,gene,365486,366067,,+,,gene-RSAU_000320,,,RSAU_000320,Gene,,,,,,protein_coding,RSAU_000320,,,,,,,,
633,CP006706.1,Genbank,CDS,365486,366067,,+,0,cds-AGU54191.1,NCBI_GP:AGU54191.1,,AGU54191.1,CDS,,,,,,,RSAU_000320,gene-RSAU_000320,phosphoglycerate mutase Gpm3p%2C putative,AGU54191.1,11,,,,
634,CP006706.1,Genbank,gene,366921,367547,,-,,gene-RSAU_000321,,,RSAU_000321,Gene,,,,,,protein_coding,RSAU_000321,,,,,,,,
635,CP006706.1,Genbank,CDS,366921,367547,,-,0,cds-AGU54192.1,NCBI_GP:AGU54192.1,,AGU54192.1,CDS,,,,,,,RSAU_000321,gene-RSAU_000321,putative lipoprotein,AGU54192.1,11,,,,
636,CP006706.1,Genbank,gene,367620,369239,,-,,gene-RSAU_000322,,,RSAU_000322,Gene,,,,,,protein_coding,RSAU_000322,,,,,,,,
637,CP006706.1,Genbank,CDS,367620,369239,,-,0,cds-AGU54193.1,NCBI_GP:AGU54193.1,,AGU54193.1,CDS,,,,,,,RSAU_000322,gene-RSAU_000322,hypothetical protein,AGU54193.1,11,,,,
638,CP006706.1,Genbank,gene,369354,370877,,-,,gene-RSAU_000323,,,ahpF,Gene,,,,,ahpF,protein_coding,RSAU_000323,,,,,,,,
639,CP006706.1,Genbank,CDS,369354,370877,,-,0,cds-AGU54194.1,NCBI_GP:AGU54194.1,,AGU54194.1,CDS,,,,,ahpF,,RSAU_000323,gene-RSAU_000323,alkyl hydroperoxide reductase%2C subunit F,AGU54194.1,11,,,,
640,CP006706.1,Genbank,gene,370893,371462,,-,,gene-RSAU_000324,,,ahpC,Gene,,,,,ahpC,protein_coding,RSAU_000324,,,,,,,,
641,CP006706.1,Genbank,CDS,370893,371462,,-,0,cds-AGU54195.1,NCBI_GP:AGU54195.1,,AGU54195.1,CDS,,,,,ahpC,,RSAU_000324,gene-RSAU_000324,alkyl hydroperoxide reductase%2C subunit C,AGU54195.1,11,,,,
642,CP006706.1,Genbank,gene,371954,372709,,+,,gene-RSAU_000325,,,RSAU_000325,Gene,,,,,,protein_coding,RSAU_000325,,,,,,,,
643,CP006706.1,Genbank,CDS,371954,372709,,+,0,cds-AGU54196.1,NCBI_GP:AGU54196.1,,AGU54196.1,CDS,,,,,,,RSAU_000325,gene-RSAU_000325,NAD(P)H-flavin oxidoreductase%2C putative,AGU54196.1,11,,,,
644,CP006706.1,Genbank,gene,372789,374177,,-,,gene-RSAU_000326,,,RSAU_000326,Gene,,,,,,protein_coding,RSAU_000326,,,,,,,,
645,CP006706.1,Genbank,CDS,372789,374177,,-,0,cds-AGU54197.1,NCBI_GP:AGU54197.1,,AGU54197.1,CDS,,,,,,,RSAU_000326,gene-RSAU_000326,sodium:dicarboxylate symporter%2C putative,AGU54197.1,11,,,,
646,CP006706.1,Genbank,gene,374416,374828,,-,,gene-RSAU_000327,,,RSAU_000327,Gene,,,,,,other,RSAU_000327,,,,,frameshift,hypothetical protein,,
647,CP006706.1,Genbank,gene,375147,376103,,-,,gene-RSAU_000328,,,RSAU_000328,Gene,,,,,,protein_coding,RSAU_000328,,,,,,,,
648,CP006706.1,Genbank,CDS,375147,376103,,-,0,cds-AGU54198.1,NCBI_GP:AGU54198.1,,AGU54198.1,CDS,,,,,,,RSAU_000328,gene-RSAU_000328,hypothetical protein,AGU54198.1,11,,,,
649,CP006706.1,Genbank,gene,376221,376883,,-,,gene-RSAU_000329,,,RSAU_000329,Gene,,,,,,protein_coding,RSAU_000329,,,,,,,,
650,CP006706.1,Genbank,CDS,376221,376883,,-,0,cds-AGU54199.1,NCBI_GP:AGU54199.1,,AGU54199.1,CDS,,,,,,,RSAU_000329,gene-RSAU_000329,hypothetical protein,AGU54199.1,11,,,,
651,CP006706.1,Genbank,gene,377026,377433,,-,,gene-RSAU_000330,,,RSAU_000330,Gene,,,,,,protein_coding,RSAU_000330,,,,,,,,
652,CP006706.1,Genbank,CDS,377026,377433,,-,0,cds-AGU54200.1,NCBI_GP:AGU54200.1,,AGU54200.1,CDS,,,,,,,RSAU_000330,gene-RSAU_000330,hypothetical protein,AGU54200.1,11,,,,
653,CP006706.1,Genbank,sequence_feature,377631,377700,,+,,id-CP006706.1:377631..377700,,,,misc_feature,,,,,,,,,,,,riboswitch,,,
654,CP006706.1,Genbank,gene,377946,378524,,+,,gene-RSAU_000332,,,xpt,Gene,,,,,xpt,protein_coding,RSAU_000332,,,,,,,,
655,CP006706.1,Genbank,CDS,377946,378524,,+,0,cds-AGU54201.1,NCBI_GP:AGU54201.1,,AGU54201.1,CDS,,,,,xpt,,RSAU_000332,gene-RSAU_000332,xanthine phosphoribosyltransferase,AGU54201.1,11,,,,
656,CP006706.1,Genbank,gene,378524,379792,,+,,gene-RSAU_000333,,,pbuX,Gene,,,,,pbuX,protein_coding,RSAU_000333,,,,,,,,
657,CP006706.1,Genbank,CDS,378524,379792,,+,0,cds-AGU54202.1,NCBI_GP:AGU54202.1,,AGU54202.1,CDS,,,,,pbuX,,RSAU_000333,gene-RSAU_000333,xanthine permease%2C putative,AGU54202.1,11,,,,
658,CP006706.1,Genbank,gene,379830,381296,,+,,gene-RSAU_000334,,,guaB,Gene,,,,,guaB,protein_coding,RSAU_000334,,,,,,,,
659,CP006706.1,Genbank,CDS,379830,381296,,+,0,cds-AGU54203.1,NCBI_GP:AGU54203.1,,AGU54203.1,CDS,,,,,guaB,,RSAU_000334,gene-RSAU_000334,Inosine-5'-monophosphate dehydrogenase,AGU54203.1,11,,,,
660,CP006706.1,Genbank,gene,381321,382862,,+,,gene-RSAU_000335,,,guaA,Gene,,,,,guaA,protein_coding,RSAU_000335,,,,,,,,
661,CP006706.1,Genbank,CDS,381321,382862,,+,0,cds-AGU54204.1,NCBI_GP:AGU54204.1,,AGU54204.1,CDS,,,,,guaA,,RSAU_000335,gene-RSAU_000335,bifunctional GMP synthase/glutamine amidotransferase protein,AGU54204.1,11,,,,
662,CP006706.1,Genbank,gene,383374,384480,,+,,gene-RSAU_000336,,,RSAU_000336,Gene,,,,,,protein_coding,RSAU_000336,,,,,,,,
663,CP006706.1,Genbank,CDS,383374,384480,,+,0,cds-AGU54205.1,NCBI_GP:AGU54205.1,,AGU54205.1,CDS,,,,,,,RSAU_000336,gene-RSAU_000336,AB-family protein%2C putative,AGU54205.1,11,,,,
664,CP006706.1,Genbank,gene,385089,385481,,-,,gene-RSAU_000337,,,RSAU_000337,Gene,,,,,,protein_coding,RSAU_000337,,,,,,,,
665,CP006706.1,Genbank,CDS,385089,385481,,-,0,cds-AGU54206.1,NCBI_GP:AGU54206.1,,AGU54206.1,CDS,,,,,,,RSAU_000337,gene-RSAU_000337,hypothetical protein,AGU54206.1,11,,,,
666,CP006706.1,Genbank,gene,385503,385724,,-,,gene-RSAU_000338,,,RSAU_000338,Gene,,,,,,protein_coding,RSAU_000338,,,,,,,,
667,CP006706.1,Genbank,CDS,385503,385724,,-,0,cds-AGU54207.1,NCBI_GP:AGU54207.1,,AGU54207.1,CDS,,,,,,,RSAU_000338,gene-RSAU_000338,hypothetical protein,AGU54207.1,11,,,,
